home,score,away,year
Argentina ,2–0, Canada,2024
Peru ,0–0, Chile,2024
Peru ,0–1, Canada,2024
Chile ,0–1, Argentina,2024
Argentina ,2–0, Peru,2024
Canada ,0–0, Chile,2024
Ecuador ,1–2, Venezuela,2024
Mexico ,1–0, Jamaica,2024
Ecuador ,3–1, Jamaica,2024
Venezuela ,1–0, Mexico,2024
Mexico ,0–0, Ecuador,2024
Jamaica ,0–3, Venezuela,2024
United States ,2–0, Bolivia,2024
Uruguay ,3–1, Panama,2024
Panama ,2–1, United States,2024
Uruguay ,5–0, Bolivia,2024
United States ,0–1, Uruguay,2024
Bolivia ,1–3, Panama,2024
Colombia ,2–1, Paraguay,2024
Brazil ,0–0, Costa Rica,2024
Colombia ,3–0, Costa Rica,2024
Paraguay ,1–4, Brazil,2024
Brazil ,1–1, Colombia,2024
Costa Rica ,2–1, Paraguay,2024
Argentina ,1–1, Ecuador,2024
Venezuela ,1–1, Canada,2024
Colombia ,5–0, Panama,2024
Uruguay ,0–0, Brazil,2024
Argentina ,2–0, Canada,2024
Uruguay ,0–1, Colombia,2024
Canada ,2–2, Uruguay,2024
Argentina ,1–0 (a.e.t.), Colombia,2024
